city,state,state code,country code,country
Upper Jay,New York,NY,US,United States
Milford,Delaware,DE,US,United States
Greenville,Massachusetts,MA,US,United States
Lynwood,California,CA,US,United States
Franklin County,Indiana,IN,US,United States
Mendenhall,Mississippi,MS,US,United States
Saint Clair,Missouri,MO,US,United States
Houston,Missouri,MO,US,United States
City of Orlando,Florida,FL,US,United States
Harrisburg,Illinois,IL,US,United States
Woodlawn,Tennessee,TN,US,United States
Galesville,Maryland,MD,US,United States
Highlandville,Missouri,MO,US,United States
Foley,Minnesota,MN,US,United States
Ruskin,Florida,FL,US,United States
Rollinsford,New Hampshire,NH,US,United States
Cloverdale,California,CA,US,United States
Windfall,Indiana,IN,US,United States
Elkin,North Carolina,NC,US,United States
Coopersburg,Pennsylvania,PA,US,United States
Chandler Heights,Arizona,AZ,US,United States
Douglassville,Pennsylvania,PA,US,United States
Dumont,New Jersey,NJ,US,United States
Ada County,Idaho,ID,US,United States
Wharton,Texas,TX,US,United States
Jerseyville,Illinois,IL,US,United States
Fannettsburg,Pennsylvania,PA,US,United States
Vanderbilt,California,CA,US,United States
Republic,Missouri,MO,US,United States
Monroe City,Illinois,IL,US,United States
Canby,Oregon,OR,US,United States
Hungerford,Texas,TX,US,United States
Byrdcliffe,New York,NY,US,United States
Espanola,New Mexico,NM,US,United States
Tunnel Hill,Georgia,GA,US,United States
Brea,California,CA,US,United States
Ackley,Iowa,IA,US,United States
Greensburg,Indiana,IN,US,United States
Bellingham,Massachusetts,MA,US,United States
Redkey,Indiana,IN,US,United States
Upper Jay,New York,NY,US,United States
Milford,Delaware,DE,US,United States
Greenville,Massachusetts,MA,US,United States
Lynwood,California,CA,US,United States
Franklin County,Indiana,IN,US,United States
Mendenhall,Mississippi,MS,US,United States
Saint Clair,Missouri,MO,US,United States
Houston,Missouri,MO,US,United States
City of Orlando,Florida,FL,US,United States
Harrisburg,Illinois,IL,US,United States
Woodlawn,Tennessee,TN,US,United States
Galesville,Maryland,MD,US,United States
Highlandville,Missouri,MO,US,United States
Foley,Minnesota,MN,US,United States
Syria,Virginia,VA,US,United States
Sheridan,Colorado,CO,US,United States
Birchrunville,Pennsylvania,PA,US,United States
Downsville,Louisiana,LA,US,United States
Afton,Minnesota,MN,US,United States
New London,North Carolina,NC,US,United States
Thompson,North Dakota,ND,US,United States
Ruskin,Florida,FL,US,United States
Millmont,Pennsylvania,PA,US,United States
Desert Hot Springs,California,CA,US,United States
University Park,Texas,TX,US,United States
Decatur County,Georgia,GA,US,United States
Pacific,Missouri,MO,US,United States
Clinton,Maryland,MD,US,United States
Richmond,Illinois,IL,US,United States
Warrensville Heights,Ohio,OH,US,United States
James Island,South Carolina,SC,US,United States
New Bremen,Ohio,OH,US,United States
Bremen,Alabama,AL,US,United States
Rollinsford,New Hampshire,NH,US,United States
Sycamore,Kansas,KS,US,United States
Lincoln,Missouri,MO,US,United States
Gold Beach,Oregon,OR,US,United States
Shafter,California,CA,US,United States
Amado,Arizona,AZ,US,United States
Palenville,New York,NY,US,United States
Doylestown,Ohio,OH,US,United States
Pinecrest,Florida,FL,US,United States
Cloverdale,California,CA,US,United States
Windfall,Indiana,IN,US,United States
Doraville,Georgia,GA,US,United States
Elkin,North Carolina,NC,US,United States
Grantsville,Utah,UT,US,United States
Boulder Creek,California,CA,US,United States
Logandale,Nevada,NV,US,United States
Nellis Air Force Base,Nevada,NV,US,United States
Bremerton,Maryland,MD,US,United States
Norwalk,Iowa,IA,US,United States
Gloversville,New York,NY,US,United States
Shortsville,New York,NY,US,United States
Springwater,New York,NY,US,United States
Fort Scott,Kansas,KS,US,United States
Cookville Dock,Tennessee,TN,US,United States
Princeville,Hawaii,HI,US,United States
Wilton,North Carolina,NC,US,United States
Westwood Village,California,CA,US,United States
Dunwoody,Georgia,GA,US,United States
Spiceland,Indiana,IN,US,United States
Thomasville,Georgia,GA,US,United States
Johnsville,California,CA,US,United States
Oro Valley,Arizona,AZ,US,United States
Fredericksburg,Missouri,MO,US,United States
Lebanon,Ohio,OH,US,United States
Colonial Beach,Virginia,VA,US,United States
Buckingham,Florida,FL,US,United States
Willis,Virginia,VA,US,United States
Bethesda,Georgia,GA,US,United States
Zellwood,Florida,FL,US,United States
Palm Harbor,Florida,FL,US,United States
Sheboygan Falls,Wisconsin,WI,US,United States
Holbrook,New York,NY,US,United States
Fort Washakie,Wyoming,WY,US,United States
Edgewood,Maryland,MD,US,United States
Rock Camp,West Virginia,WV,US,United States
Harleysville,Pennsylvania,PA,US,United States
Denver,Alabama,AL,US,United States
Townsend,Tennessee,TN,US,United States
Carthage,Missouri,MO,US,United States
Blue Island,Illinois,IL,US,United States
Jacksonville,Tennessee,TN,US,United States
Celoron,New York,NY,US,United States
Bayfield,Colorado,CO,US,United States
Paulina,Louisiana,LA,US,United States
Elkton,Maryland,MD,US,United States
Front Royal,Virginia,VA,US,United States
Woodlake,California,CA,US,United States
Round Mountain,North Carolina,NC,US,United States
Kewaunee,Wisconsin,WI,US,United States
Capitola,California,CA,US,United States
Saint Croix Falls,Wisconsin,WI,US,United States
O'Neill,Nebraska,NE,US,United States
New Madrid,Missouri,MO,US,United States
Towaoc,Colorado,CO,US,United States
Fletcher (historical),North Carolina,NC,US,United States
Lebanon Township,Missouri,MO,US,United States
Ontario,Oregon,OR,US,United States
Rockett,Texas,TX,US,United States
Middleville,New York,NY,US,United States
Raymond,Minnesota,MN,US,United States
Fairfield,Illinois,IL,US,United States
Ottawa Center,Michigan,MI,US,United States
Scio,Oregon,OR,US,United States
Gleason,Wisconsin,WI,US,United States
Birmingham,Kansas,KS,US,United States
Bulverde,Texas,TX,US,United States
Custer,Wisconsin,WI,US,United States
Sarepta,Louisiana,LA,US,United States
Thetford Center,Vermont,VT,US,United States
Lincoln Park,Michigan,MI,US,United States
Piketon,Ohio,OH,US,United States
State of Maine,Maine,ME,US,United States
Sautee,Georgia,GA,US,United States
Roosevelt,Arizona,AZ,US,United States
Lapel,Indiana,IN,US,United States
Nixa,Missouri,MO,US,United States
Cicero,Indiana,IN,US,United States
Windham,New York,NY,US,United States
New Auburn Township,Minnesota,MN,US,United States
Greensburg,Indiana,IN,US,United States
Nolanville,Texas,TX,US,United States
Squaw Valley,California,CA,US,United States
Cologne,New Jersey,NJ,US,United States
Ephraim,Utah,UT,US,United States
Leesburg,Indiana,IN,US,United States
Black Forest,Colorado,CO,US,United States
Redkey,Indiana,IN,US,United States
Martinsville,Indiana,IN,US,United States
Bryson City,North Carolina,NC,US,United States
Kohala,Hawaii,HI,US,United States
Belle Glade,Florida,FL,US,United States
Imperial,California,CA,US,United States
San Antonio,Florida,FL,US,United States
Piedmont,South Dakota,SD,US,United States
Little York,New York,NY,US,United States
Clifton Springs,New York,NY,US,United States
Athens,Arkansas,AR,US,United States
Hartwell,Georgia,GA,US,United States
Livingston,Texas,TX,US,United States
Genoa,Nevada,NV,US,United States
New Carrollton,Maryland,MD,US,United States
East Lempster,New Hampshire,NH,US,United States
Harmony,Maine,ME,US,United States
Dawsonville,Georgia,GA,US,United States
Quartzite Peak,Arizona,AZ,US,United States
Mosinee,Wisconsin,WI,US,United States
Walhalla,South Carolina,SC,US,United States
Pismo,California,CA,US,United States
Greenwell Springs,Louisiana,LA,US,United States
Fairview,New Jersey,NJ,US,United States
Manalapan,Florida,FL,US,United States
Grinnell,Illinois,IL,US,United States
Castle Pines,Colorado,CO,US,United States
Fort Lee,New Jersey,NJ,US,United States
Brookfield,Ohio,OH,US,United States
Langdon,North Dakota,ND,US,United States
Conshohocken,Pennsylvania,PA,US,United States
Black Hawk,Colorado,CO,US,United States
La Grange,Georgia,GA,US,United States
Eagle River,Wisconsin,WI,US,United States
Helen,Georgia,GA,US,United States
Bonita Springs,Florida,FL,US,United States
Mableton,Georgia,GA,US,United States
Youngsville,Louisiana,LA,US,United States
Kingsland,Georgia,GA,US,United States
Pfafftown,North Carolina,NC,US,United States
Nice,California,CA,US,United States
Nekoosa,Wisconsin,WI,US,United States
Chocowinity,North Carolina,NC,US,United States
Dauphin Island,Alabama,AL,US,United States
Stone City,Iowa,IA,US,United States
Vienna,Illinois,IL,US,United States
Reading,Massachusetts,MA,US,United States
Prichard,Alabama,AL,US,United States
Winner,South Dakota,SD,US,United States
Turkey,Texas,TX,US,United States
Hot Springs,South Dakota,SD,US,United States
Port Byron,Illinois,IL,US,United States
Calpine,California,CA,US,United States
Seville,Florida,FL,US,United States
Narragansett,Rhode Island,RI,US,United States
Oak Grove,Kentucky,KY,US,United States
Butler,Tennessee,TN,US,United States
Ravensdale,Washington,WA,US,United States
Camas,Washington,WA,US,United States
Guymon,Oklahoma,OK,US,United States
Waldoboro,Maine,ME,US,United States
Martinsville,Ohio,OH,US,United States
Lompoc Museum,California,CA,US,United States
Dalton,Massachusetts,MA,US,United States
Germantown,Illinois,IL,US,United States
Chimacum,Washington,WA,US,United States
Bexley,Ohio,OH,US,United States
Egan,Louisiana,LA,US,United States
New Haven,Indiana,IN,US,United States
Alabaster,Alabama,AL,US,United States
Marshfield,Massachusetts,MA,US,United States
Fuquay-Varina,North Carolina,NC,US,United States
Holliston,Massachusetts,MA,US,United States
Prospect Heights,Illinois,IL,US,United States
Franklin,Wisconsin,WI,US,United States
Craig,Colorado,CO,US,United States
West Rutland,Vermont,VT,US,United States
Huntington Park,California,CA,US,United States
Southwick,Massachusetts,MA,US,United States
Modena,Missouri,MO,US,United States
Lemont Furnace,Pennsylvania,PA,US,United States
Becket,Massachusetts,MA,US,United States
Hamburg Farms,California,CA,US,United States
Todd Mission,Texas,TX,US,United States
Thomaston,Maine,ME,US,United States
Parkland,Florida,FL,US,United States
Towanda,Illinois,IL,US,United States
West Carrollton City,Ohio,OH,US,United States
Blain,Pennsylvania,PA,US,United States
Loomis,California,CA,US,United States
Hingham,Massachusetts,MA,US,United States
Alton,Virginia,VA,US,United States
Santa Cruz,Arizona,AZ,US,United States
Sparrows Point,Maryland,MD,US,United States
Hewitt,New Jersey,NJ,US,United States
Volcano,Hawaii,HI,US,United States
Miller Place,New York,NY,US,United States
Center Moriches,New York,NY,US,United States
Addis,Louisiana,LA,US,United States
Crabtree,North Carolina,NC,US,United States
Sedalia,Colorado,CO,US,United States
Placer County,California,CA,US,United States
Minden,West Virginia,WV,US,United States
Reeds Spring,Missouri,MO,US,United States
Kendall Park,New Jersey,NJ,US,United States
Raubsville,Pennsylvania,PA,US,United States
Mountain Ranch,California,CA,US,United States
Helena,Georgia,GA,US,United States
Lackawaxen,Pennsylvania,PA,US,United States
Dennison,Ohio,OH,US,United States
Chackbay,Louisiana,LA,US,United States
Allison,Iowa,IA,US,United States
Saint Ignace,Michigan,MI,US,United States
Fall Branch,Tennessee,TN,US,United States
Governors State University,Illinois,IL,US,United States
Wawona,California,CA,US,United States
Streamwood,Illinois,IL,US,United States
Brussels,Wisconsin,WI,US,United States
Lakewood,Washington,WA,US,United States
Dexter,Missouri,MO,US,United States
Forest Hills,New York,NY,US,United States
Sheboygan Falls,Wisconsin,WI,US,United States
Holbrook,New York,NY,US,United States
Rock Camp,West Virginia,WV,US,United States
Harleysville,Pennsylvania,PA,US,United States
Denver,Alabama,AL,US,United States
Townsend,Tennessee,TN,US,United States
Carthage,Missouri,MO,US,United States
Blue Island,Illinois,IL,US,United States
Celoron,New York,NY,US,United States
Paulina,Louisiana,LA,US,United States
Woodlake,California,CA,US,United States
Round Mountain,North Carolina,NC,US,United States
Kewaunee,Wisconsin,WI,US,United States
New Haven,New York,NY,US,United States
Williamsburg,Michigan,MI,US,United States
Riverview,Florida,FL,US,United States
Champion,Pennsylvania,PA,US,United States
Lounsberry,New York,NY,US,United States
Laguna,California,CA,US,United States
Maywood,California,CA,US,United States
Rocky Mount,Virginia,VA,US,United States
Fulton,Illinois,IL,US,United States
West Reading,Pennsylvania,PA,US,United States
Rye Brook,New York,NY,US,United States
Makawao,Hawaii,HI,US,United States
Loretto,Minnesota,MN,US,United States
Heidelberg,Mississippi,MS,US,United States
Buhl,Idaho,ID,US,United States
Bethany Beach,Delaware,DE,US,United States
White Marsh,Maryland,MD,US,United States
Chesapeake Beach,Maryland,MD,US,United States
The Plains,Virginia,VA,US,United States
Roseville,California,CA,US,United States
Williams,California,CA,US,United States
Granby,Massachusetts,MA,US,United States
Damascus,Maryland,MD,US,United States
Rincon,Georgia,GA,US,United States
Smith River,California,CA,US,United States
Newbury Park,California,CA,US,United States
Eddystone,Pennsylvania,PA,US,United States
Ossipee,New Hampshire,NH,US,United States
Wormleysburg,Pennsylvania,PA,US,United States
Atoka,Oklahoma,OK,US,United States
Goodland,Florida,FL,US,United States
Baldock,South Carolina,SC,US,United States
Lake Worth Corridor,Florida,FL,US,United States
United Church,Florida,FL,US,United States
Manitou Springs,Colorado,CO,US,United States
Town of Lee,Maine,ME,US,United States
Oxford,Connecticut,CT,US,United States
Wynwood,Florida,FL,US,United States
Gwynedd,Pennsylvania,PA,US,United States
Melvin Village,New Hampshire,NH,US,United States
Carthage,Maine,ME,US,United States
Town of Campton,New Hampshire,NH,US,United States
Big Pool,Maryland,MD,US,United States
Fairfax Station,Virginia,VA,US,United States
Eagle Creek,Alaska,AK,US,United States
Normandy Park,Washington,WA,US,United States
Freedom Plains,New York,NY,US,United States
Mhoon Landing,Mississippi,MS,US,United States
Brawley,California,CA,US,United States
Hanover,Pennsylvania,PA,US,United States
Westchester,New York,NY,US,United States
Rib Mountain,Wisconsin,WI,US,United States
Carbondale,Texas,TX,US,United States
Funny River,Alaska,AK,US,United States
Weed,California,CA,US,United States
Due West,South Carolina,SC,US,United States
Bridgewater,New Jersey,NJ,US,United States
Aurora,New York,NY,US,United States
Pendleton,South Carolina,SC,US,United States
Erie,Colorado,CO,US,United States
Ida Grove,Iowa,IA,US,United States
La Brea,California,CA,US,United States
Cannon Falls,Minnesota,MN,US,United States
International Falls,Minnesota,MN,US,United States
Weehawken,New Jersey,NJ,US,United States
Socorro,New Mexico,NM,US,United States
Houlton Community Park,Maine,ME,US,United States
Yorklyn,Delaware,DE,US,United States
WaterSound Beach,Florida,FL,US,United States
Grayton Beach,Florida,FL,US,United States
Cathedral City,California,CA,US,United States
Bridgeport,West Virginia,WV,US,United States
Lucas,Kentucky,KY,US,United States
Riviera Beach,Florida,FL,US,United States
Eastsound,Washington,WA,US,United States
Cortez,Florida,FL,US,United States
Bradford,Tennessee,TN,US,United States
Kennett,Missouri,MO,US,United States
Kennedale,Texas,TX,US,United States
Lewisdale,Maryland,MD,US,United States
Saluda,North Carolina,NC,US,United States
Wakeman,Ohio,OH,US,United States
Saint Joseph,Illinois,IL,US,United States
Newport,Ohio,OH,US,United States
Sheffield,Massachusetts,MA,US,United States
Manawa,Wisconsin,WI,US,United States
Bainville,Montana,MT,US,United States
Rosemont,Pennsylvania,PA,US,United States
Glen Jean,West Virginia,WV,US,United States
Cold Spring,Minnesota,MN,US,United States
Guthrie Center,Iowa,IA,US,United States
Northglenn,Colorado,CO,US,United States
Manchester,Iowa,IA,US,United States
Petersburg,West Virginia,WV,US,United States
Boones Mill,Virginia,VA,US,United States
Gold Bar,Washington,WA,US,United States
Mesquite,Texas,TX,US,United States
Harrisville,West Virginia,WV,US,United States
Peshawbestown,Michigan,MI,US,United States
Parker,Texas,TX,US,United States
Dillsburg,Pennsylvania,PA,US,United States
Boone County,Illinois,IL,US,United States
Indialantic,Florida,FL,US,United States
Bean Blossom Township,Indiana,IN,US,United States
Altonah,Utah,UT,US,United States
Washington,North Carolina,NC,US,United States
Challis,Idaho,ID,US,United States
Festus,Missouri,MO,US,United States
Little Orleans,Maryland,MD,US,United States
Collinsville,Illinois,IL,US,United States
Escoheag,Rhode Island,RI,US,United States
Dudley,Massachusetts,MA,US,United States
Haines,Alaska,AK,US,United States
Wabasha,Minnesota,MN,US,United States
Worthington,West Virginia,WV,US,United States
Bath,New York,NY,US,United States
Clear Lake,Iowa,IA,US,United States
Hiram,Maine,ME,US,United States
East Dubuque,Illinois,IL,US,United States
Geneseo,Illinois,IL,US,United States
Farmington,Minnesota,MN,US,United States
Alpha,Illinois,IL,US,United States
Miles City,Montana,MT,US,United States
Mulvane,Kansas,KS,US,United States
Robstown,Texas,TX,US,United States
Twin Lakes,Wisconsin,WI,US,United States
Clinton,Arkansas,AR,US,United States
Pickstown,South Dakota,SD,US,United States
Elk City,Oklahoma,OK,US,United States
Monument,Colorado,CO,US,United States
Jasper,Texas,TX,US,United States
Apopka,Florida,FL,US,United States
Philadelphia,New York,NY,US,United States
Adams Center,New York,NY,US,United States
Antwerp,New York,NY,US,United States
Rose,New York,NY,US,United States
Saint Helena,California,CA,US,United States
Mechanic Falls,Maine,ME,US,United States
Union Beach,New Jersey,NJ,US,United States
Carnesville,Georgia,GA,US,United States
Kittery Point,Maine,ME,US,United States
Bountiful,Utah,UT,US,United States
Ludlow,Kentucky,KY,US,United States
Prairie City,Oregon,OR,US,United States
Sunrise Beach,Missouri,MO,US,United States
Kingman,Arizona,AZ,US,United States
Shelbina,Missouri,MO,US,United States
Big Bend,Wisconsin,WI,US,United States
Salem,Connecticut,CT,US,United States
Suisun,California,CA,US,United States
Corolla,North Carolina,NC,US,United States
North Palm Beach,Florida,FL,US,United States
Jefferson County,Iowa,IA,US,United States
Navarre Beach,Florida,FL,US,United States
Mineola,Texas,TX,US,United States
Ogden,Missouri,MO,US,United States
Effingham,New Hampshire,NH,US,United States
Nebraska City,Nebraska,NE,US,United States
Dolton,Illinois,IL,US,United States
Willits,California,CA,US,United States
Benton,Kansas,KS,US,United States
Brimfield,Illinois,IL,US,United States
Cardiff-by-the-Sea,California,CA,US,United States
Willowbrook,Illinois,IL,US,United States
Selma,California,CA,US,United States
Paisley,Oregon,OR,US,United States
Sayre,Pennsylvania,PA,US,United States
Waxahachie,Texas,TX,US,United States
Bradford,Massachusetts,MA,US,United States
Whiting,New Jersey,NJ,US,United States
Kailua,Hawaii,HI,US,United States
Darlington,North Carolina,NC,US,United States
Ducktown,Tennessee,TN,US,United States
Raymond,Nebraska,NE,US,United States
Kings Beach,California,CA,US,United States
New Berlin,Wisconsin,WI,US,United States
Silverwood,Indiana,IN,US,United States
Oak Forest,Illinois,IL,US,United States
Lisbon,New Hampshire,NH,US,United States
Lincolnwood,Illinois,IL,US,United States
Bristow,Oklahoma,OK,US,United States
Fletcher (historical),North Carolina,NC,US,United States
Somerset,Massachusetts,MA,US,United States
Brea,California,CA,US,United States
Fort Myers Beach,Florida,FL,US,United States
Ackley,Iowa,IA,US,United States
Poquoson,Virginia,VA,US,United States
Greensburg,Indiana,IN,US,United States
Nolanville,Texas,TX,US,United States
Squaw Valley,California,CA,US,United States
Cologne,New Jersey,NJ,US,United States
Ephraim,Utah,UT,US,United States
Leesburg,Indiana,IN,US,United States
Black Forest,Colorado,CO,US,United States
Redkey,Indiana,IN,US,United States
Martinsville,Indiana,IN,US,United States
Bryson City,North Carolina,NC,US,United States
Kohala,Hawaii,HI,US,United States
Belle Glade,Florida,FL,US,United States
Imperial,California,CA,US,United States
San Antonio,Florida,FL,US,United States
Piedmont,South Dakota,SD,US,United States
Little York,New York,NY,US,United States
Clifton Springs,New York,NY,US,United States
Athens,Arkansas,AR,US,United States
Hartwell,Georgia,GA,US,United States
Livingston,Texas,TX,US,United States
Genoa,Nevada,NV,US,United States
New Carrollton,Maryland,MD,US,United States
East Lempster,New Hampshire,NH,US,United States
Harmony,Maine,ME,US,United States
Dawsonville,Georgia,GA,US,United States
Quartzite Peak,Arizona,AZ,US,United States
Mosinee,Wisconsin,WI,US,United States
Walhalla,South Carolina,SC,US,United States
Dunkirk,New York,NY,US,United States
Lakeville,Minnesota,MN,US,United States
Mechanicville,New York,NY,US,United States
Milton,Pennsylvania,PA,US,United States
Monroe,Oregon,OR,US,United States
Sloatsburg,New York,NY,US,United States
Braman,Oklahoma,OK,US,United States
Highland Lakes,New Jersey,NJ,US,United States
Manlius,New York,NY,US,United States
Lincoln City,Indiana,IN,US,United States
Concan,Texas,TX,US,United States
Brookfield,Missouri,MO,US,United States
Trenton Falls,New York,NY,US,United States
South River,New Jersey,NJ,US,United States
Bremerton,Maryland,MD,US,United States
Norwalk,Iowa,IA,US,United States
Gloversville,New York,NY,US,United States
Shortsville,New York,NY,US,United States
Springwater,New York,NY,US,United States
Fort Scott,Kansas,KS,US,United States
Cookville Dock,Tennessee,TN,US,United States
Princeville,Hawaii,HI,US,United States
Murietta Canyon,California,CA,US,United States
Pearland,Texas,TX,US,United States
Saint John,Indiana,IN,US,United States
Irmo,South Carolina,SC,US,United States
Kings Park,New York,NY,US,United States
Modena,Pennsylvania,PA,US,United States
Chama,New Mexico,NM,US,United States
Spring Grove,Illinois,IL,US,United States
Snowflake,Arizona,AZ,US,United States
Carthage,Illinois,IL,US,United States
Sheldon,Vermont,VT,US,United States
Tell City,Indiana,IN,US,United States
Branchville,New Jersey,NJ,US,United States
Hector,New York,NY,US,United States
Olneyville,Rhode Island,RI,US,United States
Hague,New York,NY,US,United States
Goshen,Connecticut,CT,US,United States
Lead,South Dakota,SD,US,United States
Bellevue,Ohio,OH,US,United States
Lake in the Hills,Illinois,IL,US,United States
Robinson,Illinois,IL,US,United States
New Concord,Ohio,OH,US,United States
Wilmette,Illinois,IL,US,United States
Dover,Pennsylvania,PA,US,United States
Littleton,Massachusetts,MA,US,United States
Altoona,Wisconsin,WI,US,United States
Brenham,Texas,TX,US,United States
Bluffton,Ohio,OH,US,United States
Central Valley,California,CA,US,United States
Hayti,Missouri,MO,US,United States
Marion Township,Iowa,IA,US,United States
Kemah,Texas,TX,US,United States
Boyne City,Michigan,MI,US,United States
Weatherford,Oklahoma,OK,US,United States
Buda,Texas,TX,US,United States
Hugoton,Kansas,KS,US,United States
Forestdale,Massachusetts,MA,US,United States
Pella Township,Illinois,IL,US,United States
Lamoni,Iowa,IA,US,United States
Windber,Pennsylvania,PA,US,United States
Lutz,Florida,FL,US,United States
Magnolia,Texas,TX,US,United States
Dallas,Arkansas,AR,US,United States
Cokato,Minnesota,MN,US,United States
McPherson,Kansas,KS,US,United States
Downer,Minnesota,MN,US,United States
Rockport,Texas,TX,US,United States
Delano,California,CA,US,United States
Pipestone,Minnesota,MN,US,United States
Cavalier,North Dakota,ND,US,United States
Commerce,Texas,TX,US,United States
New Waterford,Ohio,OH,US,United States
Harmony,Pennsylvania,PA,US,United States
Elizabethtown,New York,NY,US,United States
Hayes,South Dakota,SD,US,United States
Elm Grove,Wisconsin,WI,US,United States
East Liverpool,Ohio,OH,US,United States
Jamestown,Colorado,CO,US,United States
Lakewood,Pennsylvania,PA,US,United States
Spiceland,Indiana,IN,US,United States
Thomasville,Georgia,GA,US,United States
Johnsville,California,CA,US,United States
Oro Valley,Arizona,AZ,US,United States
Fredericksburg,Missouri,MO,US,United States
Lebanon,Ohio,OH,US,United States
Colonial Beach,Virginia,VA,US,United States
Buckingham,Florida,FL,US,United States
Willis,Virginia,VA,US,United States
Bethesda,Georgia,GA,US,United States
Zellwood,Florida,FL,US,United States
Palm Harbor,Florida,FL,US,United States
Sheboygan Falls,Wisconsin,WI,US,United States
Holbrook,New York,NY,US,United States
Fort Washakie,Wyoming,WY,US,United States
Edgewood,Maryland,MD,US,United States
Rock Camp,West Virginia,WV,US,United States
Harleysville,Pennsylvania,PA,US,United States
Denver,Alabama,AL,US,United States
Townsend,Tennessee,TN,US,United States
Carthage,Missouri,MO,US,United States
Blue Island,Illinois,IL,US,United States
Jacksonville,Tennessee,TN,US,United States
Celoron,New York,NY,US,United States
Bayfield,Colorado,CO,US,United States
Paulina,Louisiana,LA,US,United States
Elkton,Maryland,MD,US,United States
Front Royal,Virginia,VA,US,United States
Woodlake,California,CA,US,United States
Round Mountain,North Carolina,NC,US,United States
Cuba,New York,NY,US,United States
Moscow,Kansas,KS,US,United States
O'Neill,Nebraska,NE,US,United States
New Madrid,Missouri,MO,US,United States
New Haven,New York,NY,US,United States
Williamsburg,Michigan,MI,US,United States
Riverview,Florida,FL,US,United States
Champion,Pennsylvania,PA,US,United States
Lounsberry,New York,NY,US,United States
Laguna,California,CA,US,United States
Maywood,California,CA,US,United States
Saint Joseph,Illinois,IL,US,United States
Newport,Ohio,OH,US,United States
Sheffield,Massachusetts,MA,US,United States
Manawa,Wisconsin,WI,US,United States
Bainville,Montana,MT,US,United States
Clinton,North Carolina,NC,US,United States
State of Illinois,Illinois,IL,US,United States
Mountain House,California,CA,US,United States
Bainbridge,New York,NY,US,United States
Oradell,New Jersey,NJ,US,United States
Windham,New Hampshire,NH,US,United States
Edgerton,Kansas,KS,US,United States
Jones Springs,West Virginia,WV,US,United States
Loch Sheldrake,New York,NY,US,United States
Lake Success,New York,NY,US,United States
West Lebanon,New York,NY,US,United States
Montville,New Jersey,NJ,US,United States
Lincoln,Arkansas,AR,US,United States
Webster,New York,NY,US,United States
Irondequoit,New York,NY,US,United States
North Gates,New York,NY,US,United States
Cadiz,Ohio,OH,US,United States
Stryker,Ohio,OH,US,United States
Water Mill,New York,NY,US,United States
Wylie,Texas,TX,US,United States
Wellington,Colorado,CO,US,United States
Ashby,Massachusetts,MA,US,United States
Demorest,Georgia,GA,US,United States
Moran,Wyoming,WY,US,United States
West Chester Township,Ohio,OH,US,United States
Dunn Loring,Virginia,VA,US,United States
Ardsley-on-Hudson,New York,NY,US,United States
Wauwatosa,Wisconsin,WI,US,United States
Nashport,Ohio,OH,US,United States
Rush,New York,NY,US,United States
Rockett,Texas,TX,US,United States
Middleville,New York,NY,US,United States
