city,state,state code,country code,country
Costa del Este,Buenos Aires,01,AR,Argentina
Ensenada,Buenos Aires,01,AR,Argentina
Los Menucos,Río Negro,16,AR,Argentina
Río Tercero,Córdoba,05,AR,Argentina
Partido de San Nicolás,Buenos Aires,01,AR,Argentina
Pampa del Indio,Chaco,03,AR,Argentina
Coronel Suárez,Buenos Aires,01,AR,Argentina
Río Seco,Tucumán,24,AR,Argentina
Ranelagh,Buenos Aires,01,AR,Argentina
Libertad,Buenos Aires,01,AR,Argentina
Arrecifes,Buenos Aires,01,AR,Argentina
Castelli,Chaco,03,AR,Argentina
La Paz,Mendoza,13,AR,Argentina
Bella Vista,Buenos Aires,01,AR,Argentina
Laguna de Lincoln,Buenos Aires,01,AR,Argentina
Santa Victoria,Salta,17,AR,Argentina
Kaiken,Tierra del Fuego,23,AR,Argentina
Colonia Elisa,Chaco,03,AR,Argentina
Rosario de Lerma,Salta,17,AR,Argentina
San José,Córdoba,05,AR,Argentina
Carabelas,Buenos Aires,01,AR,Argentina
Fray Luis Beltrán,Río Negro,16,AR,Argentina
Pocito,San Juan,18,AR,Argentina
Arequito,Santa Fe,21,AR,Argentina
Andalgalá,Catamarca,02,AR,Argentina
Theobald,Santa Fe,21,AR,Argentina
Río Colorado,Río Negro,16,AR,Argentina
Medellín,Santiago del Estero,22,AR,Argentina
Partido de Tres de Febrero,Buenos Aires,01,AR,Argentina
Villa Sarmiento,Buenos Aires,01,AR,Argentina
General Alvear,Mendoza,13,AR,Argentina
Sastre,Santa Fe,21,AR,Argentina
Tapalqué,Buenos Aires,01,AR,Argentina
Florida,Buenos Aires,01,AR,Argentina
San Guillermo,Santa Fe,21,AR,Argentina
Villa Rumipal,Córdoba,05,AR,Argentina
Santa Anita,Entre Ríos,08,AR,Argentina
San Marcos Sierra,Córdoba,05,AR,Argentina
Maipú,Buenos Aires,01,AR,Argentina
San Miguel,Buenos Aires,01,AR,Argentina
Florentino Ameghino,Buenos Aires,01,AR,Argentina
Moreno,Buenos Aires,01,AR,Argentina
Villa Larca,San Luis,19,AR,Argentina
Río Primero,Córdoba,05,AR,Argentina
Arrecifes,Buenos Aires,01,AR,Argentina
Rosario de Lerma,Salta,17,AR,Argentina
San José,Córdoba,05,AR,Argentina
Carabelas,Buenos Aires,01,AR,Argentina
Fray Luis Beltrán,Río Negro,16,AR,Argentina
Pocito,San Juan,18,AR,Argentina
Arequito,Santa Fe,21,AR,Argentina
Andalgalá,Catamarca,02,AR,Argentina
Theobald,Santa Fe,21,AR,Argentina
Río Colorado,Río Negro,16,AR,Argentina
Medellín,Santiago del Estero,22,AR,Argentina
Calchaquí,Santa Fe,21,AR,Argentina
Leones,Córdoba,05,AR,Argentina
Suardi,Santa Fe,21,AR,Argentina
El Palomar,Buenos Aires,01,AR,Argentina
Benito Juárez,Buenos Aires,01,AR,Argentina
Cañada de Gómez,Santa Fe,21,AR,Argentina
Río Turbio,Santa Cruz,20,AR,Argentina
Tapalqué,Buenos Aires,01,AR,Argentina
Florida,Buenos Aires,01,AR,Argentina
San Guillermo,Santa Fe,21,AR,Argentina
Santa Sylvina,Chaco,03,AR,Argentina
Montes de Oca,Santa Fe,21,AR,Argentina
Añelo,Neuquén,15,AR,Argentina
Los Juríes,Santiago del Estero,22,AR,Argentina
Fraile Pintado,Jujuy,10,AR,Argentina
Lima,Buenos Aires,01,AR,Argentina
Villa Ventana,Buenos Aires,01,AR,Argentina
Uspallata,Mendoza,13,AR,Argentina
Ranchos,Buenos Aires,01,AR,Argentina
Sierra del Aconquija,Catamarca,02,AR,Argentina
Magdalena,Buenos Aires,01,AR,Argentina
Embarcación,Salta,17,AR,Argentina
General Martín Miguel de Güemes,Salta,17,AR,Argentina
El Galpón,Salta,17,AR,Argentina
Famaillá,Tucumán,24,AR,Argentina
Mar de Cobo,Buenos Aires,01,AR,Argentina
Moreno,Buenos Aires,01,AR,Argentina
Villa Icho Cruz,Córdoba,05,AR,Argentina
La Paz,Mendoza,13,AR,Argentina
Colonia San Martín,Buenos Aires,01,AR,Argentina
Colonia Elisa,Chaco,03,AR,Argentina
California,Chaco,03,AR,Argentina
Federal,Entre Ríos,08,AR,Argentina
Ensenada,Catamarca,02,AR,Argentina
La Rioja,La Rioja,12,AR,Argentina
La Carlota,Córdoba,05,AR,Argentina
Colonia Agrícola Aborigen Chaco,Chaco,03,AR,Argentina
General San Martín,Mendoza,13,AR,Argentina
Isidro Casanova,Buenos Aires,01,AR,Argentina
Villa Tesei,Buenos Aires,01,AR,Argentina
Gramilla,Santiago del Estero,22,AR,Argentina
Veintiocho de Noviembre,Santa Cruz,20,AR,Argentina
Florencio Varela,Buenos Aires,01,AR,Argentina
Miramar,Buenos Aires,01,AR,Argentina
Tres Arroyos,Buenos Aires,01,AR,Argentina
Metán,Salta,17,AR,Argentina
Cutral-Có,Neuquén,15,AR,Argentina
Urdinarrain,Entre Ríos,08,AR,Argentina
Villa Elisa,Entre Ríos,08,AR,Argentina
Salto,Buenos Aires,01,AR,Argentina
Esquel,Chubut,04,AR,Argentina
Justo Daract,San Luis,19,AR,Argentina
Las Flores,Buenos Aires,01,AR,Argentina
Hoyo de Epuyén,Chubut,04,AR,Argentina
Potrero de los Funes,San Luis,19,AR,Argentina
Tunuyán,Mendoza,13,AR,Argentina
Departamento de Calingasta,San Juan,18,AR,Argentina
Quequén,Buenos Aires,01,AR,Argentina
Estancia San Bernardo,Buenos Aires,01,AR,Argentina
Casilda,Santa Fe,21,AR,Argentina
San Lorenzo,Salta,17,AR,Argentina
Jesús María,Córdoba,05,AR,Argentina
Casbas,Buenos Aires,01,AR,Argentina
Centenario,Neuquén,15,AR,Argentina
Departamento de Rawson,San Juan,18,AR,Argentina
Marcos Juárez,Córdoba,05,AR,Argentina
El Socorro,Buenos Aires,01,AR,Argentina
San Julián,Santa Cruz,20,AR,Argentina
San Antonio de Padua,Buenos Aires,01,AR,Argentina
Calchaquí,Santa Fe,21,AR,Argentina
El Calafate,Santa Cruz,20,AR,Argentina
Canning,Buenos Aires,01,AR,Argentina
Comandante Luis Piedra Buena,Santa Cruz,20,AR,Argentina
Rojas,Buenos Aires,01,AR,Argentina
La Lucila,Buenos Aires,01,AR,Argentina
Tortuguitas,Buenos Aires,01,AR,Argentina
Esperanza,Santa Fe,21,AR,Argentina
Benito Juárez,Buenos Aires,01,AR,Argentina
Villa Ballester,Buenos Aires,01,AR,Argentina
Belgrano,Santiago del Estero,22,AR,Argentina
Wilde,Buenos Aires,01,AR,Argentina
Morón,Buenos Aires,01,AR,Argentina
Martínez,Buenos Aires,01,AR,Argentina
Corrientes,Corrientes,06,AR,Argentina
Retiro,Santiago del Estero,22,AR,Argentina
Santa Cruz,Santiago del Estero,22,AR,Argentina
Caleta Olivia,Santa Cruz,20,AR,Argentina
Río Cuarto,Córdoba,05,AR,Argentina
Hurlingham,Buenos Aires,01,AR,Argentina
Wilde,Buenos Aires,01,AR,Argentina
Morón,Buenos Aires,01,AR,Argentina
Martínez,Buenos Aires,01,AR,Argentina
Corrientes,Corrientes,06,AR,Argentina
Retiro,Santiago del Estero,22,AR,Argentina
Santa Cruz,Santiago del Estero,22,AR,Argentina
Caleta Olivia,Santa Cruz,20,AR,Argentina
Río Cuarto,Córdoba,05,AR,Argentina
Hurlingham,Buenos Aires,01,AR,Argentina
Posadas,Misiones,14,AR,Argentina
Jesús María,La Rioja,12,AR,Argentina
San Martín,Mendoza,13,AR,Argentina
Tigre,Buenos Aires,01,AR,Argentina
Punta Alta,Buenos Aires,01,AR,Argentina
Castelar,Buenos Aires,01,AR,Argentina
General Alvear,Buenos Aires,01,AR,Argentina
San Juan,San Juan,18,AR,Argentina
Pinamar,Buenos Aires,01,AR,Argentina
Río Ceballos,Córdoba,05,AR,Argentina
Allen,Río Negro,16,AR,Argentina
Villa La Angostura,Neuquén,15,AR,Argentina
Godoy Cruz,Mendoza,13,AR,Argentina
Lincoln,Buenos Aires,01,AR,Argentina
San Rafael,Mendoza,13,AR,Argentina
Rafaela,Santa Fe,21,AR,Argentina
Resistencia,Salta,17,AR,Argentina
Trelew,Chubut,04,AR,Argentina
Necochea,Buenos Aires,01,AR,Argentina
Apóstoles,Misiones,14,AR,Argentina
Chascomús,Buenos Aires,01,AR,Argentina
Trenque Lauquen,Buenos Aires,01,AR,Argentina
San Andrés de Giles,Buenos Aires,01,AR,Argentina
Burzaco,Buenos Aires,01,AR,Argentina
Tandil,Buenos Aires,01,AR,Argentina
Córdoba,Córdoba,05,AR,Argentina
Santa Fe,Santa Fe,21,AR,Argentina
La Plata,Buenos Aires,01,AR,Argentina
Quilmes,Buenos Aires,01,AR,Argentina
Villa Ballester,Buenos Aires,01,AR,Argentina
Maipú,Buenos Aires,01,AR,Argentina
Bella Vista,Buenos Aires,01,AR,Argentina
Estancia El Maitén,Chubut,04,AR,Argentina
Partido de Tres de Febrero,Buenos Aires,01,AR,Argentina
Villa Sarmiento,Buenos Aires,01,AR,Argentina
Libertad,Buenos Aires,01,AR,Argentina
Arrecifes,Buenos Aires,01,AR,Argentina
Colonia Elisa,Chaco,03,AR,Argentina
Reconquista,Santa Fe,21,AR,Argentina
Monte Cristo,Córdoba,05,AR,Argentina
Quemú Quemú,La Pampa,11,AR,Argentina
Chacabuco,Buenos Aires,01,AR,Argentina
Ferre,Buenos Aires,01,AR,Argentina
Bell Ville,Córdoba,05,AR,Argentina
Monte Cristo,Córdoba,05,AR,Argentina
La Consulta,Mendoza,13,AR,Argentina
General Lavalle,Buenos Aires,01,AR,Argentina
Villa Ángela,Chaco,03,AR,Argentina
San Antonio de Areco,Buenos Aires,01,AR,Argentina
Garupá,Misiones,14,AR,Argentina
Cachí,Salta,17,AR,Argentina
Simoca,Tucumán,24,AR,Argentina
Departamento de Uruguay,Entre Ríos,08,AR,Argentina
Junín de los Andes,Neuquén,15,AR,Argentina
Guachipas,Salta,17,AR,Argentina
Cruz del Eje,Córdoba,05,AR,Argentina
Villa Constitución,Santa Fe,21,AR,Argentina
Las Heras,Mendoza,13,AR,Argentina
Estancia La Mercedes,Neuquén,15,AR,Argentina
Monte Grande,Buenos Aires,01,AR,Argentina
Llavallol,Buenos Aires,01,AR,Argentina
General Villegas,Buenos Aires,01,AR,Argentina
General Pico,La Pampa,11,AR,Argentina
San Salvador de Jujuy,Jujuy,10,AR,Argentina
San Francisco,Córdoba,05,AR,Argentina
San Bernardo,Santa Fe,21,AR,Argentina
Bernal,Buenos Aires,01,AR,Argentina
Oliva,Córdoba,05,AR,Argentina
Los Toldos,Buenos Aires,01,AR,Argentina
Cinco Saltos,Río Negro,16,AR,Argentina
Federación,Entre Ríos,08,AR,Argentina
Viale,Entre Ríos,08,AR,Argentina
Villa Ocampo,Santa Fe,21,AR,Argentina
Marull,Córdoba,05,AR,Argentina
25 de Mayo,Buenos Aires,01,AR,Argentina
San Francisco del Chañar,Córdoba,05,AR,Argentina
Tostado,Santa Fe,21,AR,Argentina
Coronel Dorrego,Buenos Aires,01,AR,Argentina
Daireaux,Buenos Aires,01,AR,Argentina
Darregueira,Buenos Aires,01,AR,Argentina
Venado Tuerto,Santa Fe,21,AR,Argentina
San Luis,San Luis,19,AR,Argentina
Santos Lugares,Buenos Aires,01,AR,Argentina
San Antonio Oeste,Río Negro,16,AR,Argentina
La Falda,Córdoba,05,AR,Argentina
Ingeniero Budge,Buenos Aires,01,AR,Argentina
Domselaar,Buenos Aires,01,AR,Argentina
Chumbicha,Catamarca,02,AR,Argentina
Nuestra Señora del Rosario de Caa Catí,Corrientes,06,AR,Argentina
Adelia María,Córdoba,05,AR,Argentina
Saavedra,Autonomous City of Buenos Aires,07,AR,Argentina
Domselaar,Buenos Aires,01,AR,Argentina
Garupá,Misiones,14,AR,Argentina
Cachí,Salta,17,AR,Argentina
Simoca,Tucumán,24,AR,Argentina
Departamento de Uruguay,Entre Ríos,08,AR,Argentina
Ingeniero Luiggi,La Pampa,11,AR,Argentina
Junín de los Andes,Neuquén,15,AR,Argentina
Guachipas,Salta,17,AR,Argentina
Cruz del Eje,Córdoba,05,AR,Argentina
Villa Constitución,Santa Fe,21,AR,Argentina
Partido de Ezeiza,Buenos Aires,01,AR,Argentina
Palpalá,Jujuy,10,AR,Argentina
Victoria,Buenos Aires,01,AR,Argentina
Estación Monte Grande,Buenos Aires,01,AR,Argentina
Los Antiguos,Santa Cruz,20,AR,Argentina
Zapala,Neuquén,15,AR,Argentina
Del Viso,Buenos Aires,01,AR,Argentina
Lucas González,Entre Ríos,08,AR,Argentina
San José del Rincón,Santa Fe,21,AR,Argentina
Rauch,Buenos Aires,01,AR,Argentina
Seguí,Entre Ríos,08,AR,Argentina
Laboulaye,Córdoba,05,AR,Argentina
Mina Clavero,Córdoba,05,AR,Argentina
Armstrong,Santa Fe,21,AR,Argentina
Los Cardales,Buenos Aires,01,AR,Argentina
Choele Choel,Río Negro,16,AR,Argentina
Merlo,San Luis,19,AR,Argentina
Dalmacio Vélez Sársfield,Córdoba,05,AR,Argentina
Las Heras,Mendoza,13,AR,Argentina
Alicia,Córdoba,05,AR,Argentina
Rafael Calzada,Buenos Aires,01,AR,Argentina
Las Varillas,Córdoba,05,AR,Argentina
San Carlos,Salta,17,AR,Argentina
Tafí del Valle,Tucumán,24,AR,Argentina
Monte Maíz,Córdoba,05,AR,Argentina
Lamarque,Río Negro,16,AR,Argentina
Albardón,San Juan,18,AR,Argentina
Monte Grande,Buenos Aires,01,AR,Argentina
Llavallol,Buenos Aires,01,AR,Argentina
Tres Lomas,Buenos Aires,01,AR,Argentina
Laprida,Buenos Aires,01,AR,Argentina
Chabás,Santa Fe,21,AR,Argentina
Suncho Corral,Santiago del Estero,22,AR,Argentina
Virrey del Pino,Buenos Aires,01,AR,Argentina
Rawson,Buenos Aires,01,AR,Argentina
Lisandro Olmos,Buenos Aires,01,AR,Argentina
Bajo de los Calafates,Santa Cruz,20,AR,Argentina
Saavedra,Buenos Aires,01,AR,Argentina
Santa Inés,Santa Fe,21,AR,Argentina
Ciudadela,Buenos Aires,01,AR,Argentina
Albardón,San Juan,18,AR,Argentina
Bernal,Buenos Aires,01,AR,Argentina
Alta Gracia,Córdoba,05,AR,Argentina
Los Toldos,Buenos Aires,01,AR,Argentina
Cinco Saltos,Río Negro,16,AR,Argentina
Federación,Entre Ríos,08,AR,Argentina
Viale,Entre Ríos,08,AR,Argentina
Villa Ocampo,Santa Fe,21,AR,Argentina
Marull,Córdoba,05,AR,Argentina
25 de Mayo,Buenos Aires,01,AR,Argentina
San Francisco del Chañar,Córdoba,05,AR,Argentina
Venado Tuerto,Santa Fe,21,AR,Argentina
San Luis,San Luis,19,AR,Argentina
Santos Lugares,Buenos Aires,01,AR,Argentina
San Antonio Oeste,Río Negro,16,AR,Argentina
La Falda,Córdoba,05,AR,Argentina
Tartagal,Salta,17,AR,Argentina
Basavilbaso,Entre Ríos,08,AR,Argentina
Aldea San José,Entre Ríos,08,AR,Argentina
Chacras de Coria,Mendoza,13,AR,Argentina
Luján de Cuyo,Mendoza,13,AR,Argentina
Santa Rosa,Río Negro,16,AR,Argentina
Las Grutas,Río Negro,16,AR,Argentina
Toay,La Pampa,11,AR,Argentina
General Arenales,Buenos Aires,01,AR,Argentina
Diamante,Entre Ríos,08,AR,Argentina
Pico Truncado,Santa Cruz,20,AR,Argentina
Carhué,Buenos Aires,01,AR,Argentina
Haedo,Buenos Aires,01,AR,Argentina
Baradero,Buenos Aires,01,AR,Argentina
Bragado,Buenos Aires,01,AR,Argentina
Calingasta,San Juan,18,AR,Argentina
San Fernando,Buenos Aires,01,AR,Argentina
Melincué,Santa Fe,21,AR,Argentina
General Las Heras,Buenos Aires,01,AR,Argentina
Laprida,Buenos Aires,01,AR,Argentina
Estación Monte Grande,Buenos Aires,01,AR,Argentina
Los Antiguos,Santa Cruz,20,AR,Argentina
Zapala,Neuquén,15,AR,Argentina
Chabás,Santa Fe,21,AR,Argentina
Del Viso,Buenos Aires,01,AR,Argentina
Suncho Corral,Santiago del Estero,22,AR,Argentina
Lucas González,Entre Ríos,08,AR,Argentina
San José del Rincón,Santa Fe,21,AR,Argentina
Rauch,Buenos Aires,01,AR,Argentina
Lisandro Olmos,Buenos Aires,01,AR,Argentina
Seguí,Entre Ríos,08,AR,Argentina
Chileno,Santiago del Estero,22,AR,Argentina
Bahía Blanca,Buenos Aires,01,AR,Argentina
General Roca,Río Negro,16,AR,Argentina
Chileno,Santiago del Estero,22,AR,Argentina
Bahía Blanca,Buenos Aires,01,AR,Argentina
General Roca,Río Negro,16,AR,Argentina
San Fernando del Valle de Catamarca,Catamarca,02,AR,Argentina
Santiago del Estero,Santiago del Estero,22,AR,Argentina
San Carlos Centro,Santa Fe,21,AR,Argentina
Avellaneda,Buenos Aires,01,AR,Argentina
Junín,Buenos Aires,01,AR,Argentina
Bariloche,Río Negro,16,AR,Argentina
Santa María,Córdoba,05,AR,Argentina
Campana,Buenos Aires,01,AR,Argentina
Resistencia,Chaco,03,AR,Argentina
Comodoro Rivadavia,Chubut,04,AR,Argentina
Ushuaia,Tierra del Fuego,23,AR,Argentina
Paraná,Entre Ríos,08,AR,Argentina
Viedma,Río Negro,16,AR,Argentina
Plaza Huincul,Neuquén,15,AR,Argentina
Lomas del Mirador,Buenos Aires,01,AR,Argentina
Departamento de Punilla,Córdoba,05,AR,Argentina
San Roque,Córdoba,05,AR,Argentina
Buenos Aires,Autonomous City of Buenos Aires,07,AR,Argentina
Mendoza,Mendoza,13,AR,Argentina
Salta,Salta,17,AR,Argentina
Lomas de Zamora,Buenos Aires,01,AR,Argentina
Ramos Mejía,Buenos Aires,01,AR,Argentina
San Pedro,Buenos Aires,01,AR,Argentina
Mar del Plata,Buenos Aires,01,AR,Argentina
Liniers,Santa Fe,21,AR,Argentina
Olavarría,Buenos Aires,01,AR,Argentina
Cosquín,Córdoba,05,AR,Argentina
Chacras de Coria,Mendoza,13,AR,Argentina
Luján de Cuyo,Mendoza,13,AR,Argentina
Santa Rosa,Río Negro,16,AR,Argentina
Las Grutas,Río Negro,16,AR,Argentina
Baradero,Buenos Aires,01,AR,Argentina
Bragado,Buenos Aires,01,AR,Argentina
Victoria,Buenos Aires,01,AR,Argentina
Los Antiguos,Santa Cruz,20,AR,Argentina
Laboulaye,Córdoba,05,AR,Argentina
Ciudadela,Buenos Aires,01,AR,Argentina
Armstrong,Santa Fe,21,AR,Argentina
Los Cardales,Buenos Aires,01,AR,Argentina
Choele Choel,Río Negro,16,AR,Argentina
Merlo,San Luis,19,AR,Argentina
Dalmacio Vélez Sársfield,Córdoba,05,AR,Argentina
San Miguel del Monte,Buenos Aires,01,AR,Argentina
Berisso,Buenos Aires,01,AR,Argentina
Nueve de Julio,Buenos Aires,01,AR,Argentina
Alta Gracia,Córdoba,05,AR,Argentina
San Bernardo,Buenos Aires,01,AR,Argentina
Baradero,Buenos Aires,01,AR,Argentina
Bragado,Buenos Aires,01,AR,Argentina
Calingasta,San Juan,18,AR,Argentina
Melincué,Santa Fe,21,AR,Argentina
General Las Heras,Buenos Aires,01,AR,Argentina
Rada Tilly,Chubut,04,AR,Argentina
Saavedra,Autonomous City of Buenos Aires,07,AR,Argentina
Perito Moreno,Río Negro,16,AR,Argentina
Coronel Vidal,Buenos Aires,01,AR,Argentina
San José de Feliciano,Entre Ríos,08,AR,Argentina
Acevedo,Buenos Aires,01,AR,Argentina
Plottier,Neuquén,15,AR,Argentina
Villa Ortúzar,Distrito Federal,07,AR,Argentina
Cafayate,Salta,17,AR,Argentina
Arroyo Cabral,Córdoba,05,AR,Argentina
Sarandí,Buenos Aires,01,AR,Argentina
Carcarañá,Santa Fe,21,AR,Argentina
Valeria del Mar,Buenos Aires,01,AR,Argentina
Gobernador Gálvez,Santa Fe,21,AR,Argentina
El Bolsón,Río Negro,16,AR,Argentina
Frías,Santiago del Estero,22,AR,Argentina
Liebig,Entre Ríos,08,AR,Argentina
Humboldt,Santa Fe,21,AR,Argentina
Carmen de Patagones,Buenos Aires,01,AR,Argentina
Totoras,Santa Fe,21,AR,Argentina
Tapiales,Buenos Aires,01,AR,Argentina
San Ignacio,Misiones,14,AR,Argentina
Junín,Mendoza,13,AR,Argentina
Los Surgentes,Córdoba,05,AR,Argentina
Morteros,Córdoba,05,AR,Argentina
Grand Bourg,Buenos Aires,01,AR,Argentina
Puan,Buenos Aires,01,AR,Argentina
Puesto Vista Alegre,Córdoba,05,AR,Argentina
Sarmiento,Chubut,04,AR,Argentina
Malargüe,Mendoza,13,AR,Argentina
San Agustín,Santa Fe,21,AR,Argentina
Apeadero Arroyo Leyes,Santa Fe,21,AR,Argentina
Villa Alsina,Buenos Aires,01,AR,Argentina
Villa Elvira,Buenos Aires,01,AR,Argentina
Estancia Santa Rafaela,Buenos Aires,01,AR,Argentina
Partido de Malvinas Argentinas,Buenos Aires,01,AR,Argentina
Joaquín Gorina,Buenos Aires,01,AR,Argentina
Colonia Alpina,Santiago del Estero,22,AR,Argentina
Loncopué,Neuquén,15,AR,Argentina
Pampa de los Guanacos,Santiago del Estero,22,AR,Argentina
General Acha,La Pampa,11,AR,Argentina
Playa Unión,Chubut,04,AR,Argentina
Molinos,Salta,17,AR,Argentina
Gregorio de Laferrère,Buenos Aires,01,AR,Argentina
Rosario del Tala,Entre Ríos,08,AR,Argentina
Adolfo Gonzáles Chaves,Buenos Aires,01,AR,Argentina
Mataderos,Autonomous City of Buenos Aires,07,AR,Argentina
Candelaria,San Luis,19,AR,Argentina
Santo Tomé,Santa Fe,21,AR,Argentina
La Dulce,Buenos Aires,01,AR,Argentina
Acassuso,Buenos Aires,01,AR,Argentina
Serrezuela,Córdoba,05,AR,Argentina
Las Higueras,Córdoba,05,AR,Argentina
San Miguel,Buenos Aires,01,AR,Argentina
San Genaro,Santa Fe,21,AR,Argentina
Gaboto,Santa Fe,21,AR,Argentina
Romang,Santa Fe,21,AR,Argentina
Victorica,La Pampa,11,AR,Argentina
Chañar Grande,Neuquén,15,AR,Argentina
Hilario Ascasubi,Buenos Aires,01,AR,Argentina
El Talar,Buenos Aires,01,AR,Argentina
Vista Flores,Mendoza,13,AR,Argentina
Las Chacras,Mendoza,13,AR,Argentina
Punta Chañar,Neuquén,15,AR,Argentina
Santa Clara de Saguier,Santa Fe,21,AR,Argentina
Comallo,Río Negro,16,AR,Argentina
Devoto,Córdoba,05,AR,Argentina
El Carril,Salta,17,AR,Argentina
Pampa del Juncalito,Mendoza,13,AR,Argentina
Gahan,Buenos Aires,01,AR,Argentina
Veinticinco de Mayo,La Pampa,11,AR,Argentina
Monte Grande,Tucumán,24,AR,Argentina
Aldo Bonzi,Buenos Aires,01,AR,Argentina
Achiras,Córdoba,05,AR,Argentina
Departamento de Angaco,San Juan,18,AR,Argentina
Santa Elena,Entre Ríos,08,AR,Argentina
Quimilí,Santiago del Estero,22,AR,Argentina
Orán,Salta,17,AR,Argentina
Fernández,Santiago del Estero,22,AR,Argentina
Bella Vista,Tucumán,24,AR,Argentina
General Pinedo,Chaco,03,AR,Argentina
Punta Indio,Buenos Aires,01,AR,Argentina
Paso de Indios,Chubut,04,AR,Argentina
Chepes,La Rioja,12,AR,Argentina
Graneros,Tucumán,24,AR,Argentina
Ingeniero Beaugey,Buenos Aires,01,AR,Argentina
Pampa del Infierno,Chaco,03,AR,Argentina
Hughes,Santa Fe,21,AR,Argentina
Verónica,Buenos Aires,01,AR,Argentina
Suipacha,Buenos Aires,01,AR,Argentina
Chilecito,La Rioja,12,AR,Argentina
San Francisco del Monte de Oro,San Luis,19,AR,Argentina
Unquillo,Córdoba,05,AR,Argentina
La Lucila del Mar,Buenos Aires,01,AR,Argentina
Villa Unión,La Rioja,12,AR,Argentina
Santa Clara,Santa Fe,21,AR,Argentina
San Vicente,Misiones,14,AR,Argentina
Las Catitas,Mendoza,13,AR,Argentina
